run_id,line_no,vehicle_no,driver_no,plan_run_time,plan_reach_time,real_run_time,real_reach_time
18739983,171,1277,5117,1602194400.0,1602196200.0,1602194396.0,1602195969.0
18740751,171,1277,5117,1602197400.0,1602199200.0,1602197377.0,1602199078.0
18740932,171,1277,5117,1602200400.0,1602202200.0,1602200371.0,1602202479.0
18741201,171,1277,5117,1602203400.0,1602205200.0,1602203423.0,1602205471.0
18741570,171,1277,5117,1602206400.0,1602208200.0,1602206422.0,1602208212.0
18741800,171,1277,5117,1602209400.0,1602211200.0,1602209390.0,1602211202.0
18741801,171,1277,5117,1602212400.0,1602214200.0,1602212418.0,1602214286.0
18741802,171,1277,5117,1602215400.0,1602217200.0,1602215424.0,1602217278.0
18741803,171,1277,5117,1602218400.0,1602220200.0,1602218390.0,1602220026.0
18741804,171,1277,1094,1602221400.0,1602223200.0,1602221382.0,1602223113.0
18741807,171,1277,1094,1602224400.0,1602226200.0,1602224402.0,1602226234.0
18741808,171,1277,1094,1602227400.0,1602229200.0,1602227374.0,1602229207.0
18741809,171,1277,1094,1602230400.0,1602232200.0,1602230372.0,1602232176.0
18741810,171,1277,1094,1602233400.0,1602235200.0,1602233364.0,1602235296.0
18741811,171,1277,1094,1602236400.0,1602238200.0,1602236373.0,1602238532.0
18741812,171,1277,1094,1602239400.0,1602241200.0,1602239392.0,1602241727.0
18741813,171,1277,1094,1602242400.0,1602244200.0,1602242389.0,1602244032.0
18741814,171,1277,1094,1602244800.0,1602246360.0,1602244783.0,1602246613.0
18739938,371,1279,1071,1602195600.0,1602197400.0,1602195608.0,1602197542.0
18740750,371,1279,1071,1602198300.0,1602200100.0,1602198266.0,1602200358.0
18740754,371,1279,1071,1602201000.0,1602202800.0,1602201000.0,1602203686.0
18740934,371,1279,1071,1602204600.0,1602206400.0,1602204610.0,1602206909.0
18741743,371,1279,1071,1602208200.0,1602210000.0,1602208204.0,1602210491.0
18742164,371,1279,1071,1602211800.0,1602213600.0,1602211871.0,1602213840.0
18742606,371,1279,1071,1602215400.0,1602217200.0,1602215368.0,1602217427.0
18742959,371,1279,1166,1602219000.0,1602220800.0,1602219024.0,1602220858.0
18743334,371,1279,1166,1602222600.0,1602224400.0,1602222600.0,1602225731.0
18744035,371,1279,1166,1602226200.0,1602228001.0,1602226200.0,1602229260.0
18744456,371,1279,1166,1602229800.0,1602231601.0,1602229800.0,1602233213.0
18744457,371,1279,1166,1602233400.0,1602235200.0,1602233400.0,1602234720.0
18744459,371,1279,1166,1602235200.0,1602237000.0,1602235200.0,1602237000.0
18744461,371,1279,1166,1602237000.0,1602238800.0,1602237000.0,1602238800.0
18744736,371,1279,1166,1602236100.0,1602237900.0,1602236100.0,1602238903.0
18744463,371,1279,1166,1602240600.0,1602242400.0,1602240600.0,1602242400.0
18744741,371,1279,1166,1602240600.0,1602242401.0,1602240600.0,1602244020.0
18744465,371,1279,1166,1602244200.0,1602246000.0,1602244200.0,1602246000.0
18744743,371,1279,1166,1602244200.0,1602246000.0,1602244200.0,1602247826.0
18739939,371,1281,1015,1602197400.0,1602199200.0,1602197391.0,1602199458.0
18740752,371,1281,1015,1602200100.0,1602201900.0,1602200069.0,1602202510.0
18740933,371,1281,1015,1602203040.0,1602204840.0,1602203062.0,1602205249.0
18741546,371,1281,1015,1602206400.0,1602208200.0,1602206376.0,1602208363.0
18741935,371,1281,1015,1602210000.0,1602211800.0,1602210014.0,1602212047.0
18742328,371,1281,1015,1602213600.0,1602215400.0,1602213656.0,1602215857.0
18742788,371,1281,1015,1602217200.0,1602219000.0,1602217189.0,1602219319.0
18743125,371,1281,5782,1602220800.0,1602222600.0,1602220790.0,1602222650.0
18743534,371,1281,5782,1602224400.0,1602226200.0,1602224384.0,1602226256.0
18744084,371,1281,5782,1602228000.0,1602229800.0,1602227992.0,1602229810.0
18744419,371,1281,5782,1602231600.0,1602233400.0,1602231588.0,1602233633.0
18744458,371,1281,5782,1602234300.0,1602236100.0,1602234300.0,1602237060.0
18744460,371,1281,5782,1602236100.0,1602237900.0,1602235260.0,1602237900.0
18744731,371,1281,5782,1602235200.0,1602237000.0,1602235173.0,1602238011.0
18744462,371,1281,5782,1602238800.0,1602240600.0,1602238800.0,1602240600.0
18744740,371,1281,5782,1602238800.0,1602240600.0,1602238769.0,1602240895.0
18744742,371,1281,5782,1602242400.0,1602244200.0,1602242375.0,1602244116.0
18744464,371,1281,5782,1602242400.0,1602244200.0,1602242400.0,1602244200.0
18744744,371,1281,5782,1602246000.0,1602247800.0,1602245976.0,1602247690.0
18744466,371,1281,5782,1602246000.0,1602247800.0,1602246000.0,1602247800.0
18740518,5091,1282,7680,1602201600.0,1602204301.0,1602201600.0,1602205320.0
18741967,5091,1282,7680,1602208800.0,1602211500.0,1602208807.0,1602212479.0
18742380,5091,1282,7680,1602216000.0,1602218700.0,1602215946.0,1602219010.0
18743098,5091,1282,7680,1602223200.0,1602225901.0,1602223200.0,1602226522.0
18744117,5091,1282,7680,1602230400.0,1602233100.0,1602230386.0,1602233740.0
18744858,5091,1282,7680,1602237600.0,1602240300.0,1602237570.0,1602242451.0
18740517,5091,1283,7065,1602198000.0,1602200701.0,1602198000.0,1602201326.0
18741106,5091,1283,7065,1602205200.0,1602207900.0,1602205180.0,1602208719.0
18741968,5091,1283,7065,1602212400.0,1602215100.0,1602212345.0,1602215750.0
18742778,5091,1283,7065,1602219600.0,1602222300.0,1602219593.0,1602222861.0
18743562,5091,1283,7065,1602226800.0,1602229500.0,1602226804.0,1602229896.0
18744426,5091,1283,7065,1602234000.0,1602236700.0,1602233966.0,1602237483.0
18740238,61,1296,2399,1602194400.0,1602197100.0,1602194465.0,1602196937.0
18740711,61,1296,2399,1602197400.0,1602200100.0,1602197360.0,1602201447.0
18740994,61,1296,2399,1602201960.0,1602204660.0,1602201836.0,1602205028.0
18741215,61,1296,2399,1602206640.0,1602209340.0,1602206280.0,1602208980.0
