user_id,vehicle_no,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
54504749118690509718878,2221,191,27,1602199539.0,109.40644,24.31516,18739968,31223,0,0
54504749604422319867230,2183,901,17,1602200217.0,109.38125,24.30366,18740449,31411,0,0
54504749604422319867230,2211,901,6,1602238682.0,109.4418,24.3263,18744944,31400,0,0
54504749604422319867230,2066,141,18,1602241888.0,109.38936,24.30918,18745194,30592,0,0
54504749780663081633118,2269,251,19,1602213474.0,109.40641,24.3174,18742101,27453,0,0
54504751944054214755696,2427,811,35,1602206644.0,109.36501,24.27259,18741157,28150,0,0
54504751944054214755696,2362,281,5,1602207242.0,109.3807,24.27706,18741582,28249,0,0
54504751944054214755696,2057,141,16,1602214469.0,109.40813,24.30804,18742154,30590,0,0
54504752002778228852080,1642,8001,30,1602223479.0,109.38972,24.30864,18742873,29737,0,0
54504752952215109370305,2469,691,4,1602223558.0,109.42612,24.28392,18743101,28898,0,0
54504753035605120647617,2031,921,19,1602204020.0,109.37888,24.32161,18741250,29130,0,0
54504753391367999193537,2250,191,20,1602235455.0,109.40955,24.28446,18744612,31216,0,0
54504753391367999193537,2002,391,20,1602237042.0,109.40883999999998,24.31967,18744702,31180,0,0
54504753391367999193537,1947,181,10,1602253642.0,109.39495,24.3621,18745939,28436,0,0
54504753391367999193537,2097,41,16,1602255347.0,109.40971,24.31828,18745878,26423,0,0
54504753871105108739975,2410,321,16,1602201138.0,109.38786,24.31281,18740867,26216,0,0
54504754353949627123591,1298,61,11,1602224254.0,109.41077,24.32831,18742548,11109,0,0
54504754359864870832007,1843,711,12,1602224853.0,109.36563999999998,24.25992,18743531,28081,0,0
54504754359864870832007,2295,581,13,1602227731.0,109.398,24.30093,18743922,31279,0,0
54504754359864870832007,2291,581,34,1602235945.0,109.40463,24.33551,18744569,31300,0,0
54504754388591759591303,1881,271,28,1602214553.0,109.37717,24.33861,18741992,24900,0,0
54504754388591759591303,1860,111,28,1602217346.0,109.36353,24.3283,18742361,28800,0,0
54504754400813089032071,1855,111,1,1602205457.0,109.35942,24.33889,18741384,28773,0,0
54504754400813089032071,1833,671,13,1602236057.0,109.40676,24.3191,18744368,31601,0,0
54504754400813089032071,1855,111,27,1602238216.0,109.36958,24.32845,18744626,28799,0,0
54504754405605198792583,1988,51,24,1602216740.0,109.40876000000002,24.33437,18742242,31150,0,0
54504754414972522465159,2459,331,15,1602201664.0,109.3913,24.30819,18740872,29582,0,0
54504754414972522465159,2409,321,5,1602238731.0,109.39462,24.27348,18745279,26205,0,0
54504754415175459669895,2402,301,6,1602218070.0,109.43428,24.29369,18742792,25781,0,0
54504754415175459669895,1987,41,8,1602230464.0,109.42051,24.28685,18744344,26415,0,0
54504754415175459669895,1668,8090,27,1602235098.0,109.40081,24.30658,18744401,29865,0,0
54504754415175459669895,2281,621,12,1602235378.0,109.4071,24.30506,18744789,25869,0,0
54504754415307529914247,1938,11,24,1602226065.0,109.40445,24.33027,18743383,31111,0,0
54504754415307529914247,1937,11,12,1602255609.0,109.4066,24.361320000000006,18745901,31099,0,0
54504754415684413294471,1994,51,1,1602216610.0,109.39949,24.39115,18742757,31127,0,0
54504754415716625549191,1864,111,9,1602213489.0,109.39899,24.33813,18742262,28781,0,0
54504754415875539339143,2052,801,23,1602223415.0,109.40649,24.31902,18742825,29457,0,0
54504754416577766492039,2270,251,9,1602201094.0,109.39014,24.287,18740732,27443,0,0
54504754416577766492039,2260,251,19,1602237579.0,109.40642,24.31827,18744898,27453,0,0
54504754416689435641735,2097,41,8,1602198351.0,109.42062,24.28668,18740826,26415,0,0
54504754417911353837447,1617,8003,12,1602206467.0,109.44908999999998,24.32209,18741404,19211,0,0
54504754418203411613575,2105,8002,7,1602201153.0,109.42703,24.3439,18739840,17239,0,0
54504754418203411613575,2105,8002,16,1602209910.0,109.39076,24.30851,18741620,17248,0,0
54504754418203411613575,2105,8002,17,1602210093.0,109.38563,24.30857,18741620,17250,0,0
54504754418203411613575,2106,8002,21,1602220677.0,109.40468,24.30528,18742786,17255,0,0
54504754418566336350087,1893,111,21,1602201754.0,109.37117,24.3073,18740209,28793,0,0
