user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45047E+22,191,27,1602199539,109.40644,24.31516,18739968,31223,0,0
5.45047E+22,901,17,1602200217,109.38125,24.30366,18740449,31411,0,0
5.45047E+22,901,28,,109.4418,24.3263,18740449,31411,1,0
5.45047E+22,901,6,1602238682,109.4418,24.3263,18744944,31400,0,0
5.45047E+22,901,14,,109.38936,24.30918,18744944,31400,1,1
5.45047E+22,141,18,1602241888,109.38936,24.30918,18745194,30592,0,0
5.45047E+22,251,19,1602213474,109.40641,24.3174,18742101,27453,0,0
5.45048E+22,811,35,1602206644,109.36501,24.27259,18741157,28150,0,0
5.45048E+22,811,37,,109.3807,24.27706,18741157,28150,1,1
5.45048E+22,281,5,1602207242,109.3807,24.27706,18741582,28249,0,0
5.45048E+22,281,18,,109.40813,24.30804,18741582,28249,1,0
5.45048E+22,141,16,1602214469,109.40813,24.30804,18742154,30590,0,0
5.45048E+22,811,46,1602217256,109.39587,24.30625,18742581,28161,0,0
5.45048E+22,8001,30,1602223479,109.38972,24.30864,18742873,29737,0,0
5.45048E+22,691,4,1602223558,109.42612,24.28392,18743101,28898,0,0
5.45048E+22,921,19,1602204020,109.37888,24.32161,18741250,29130,0,0
5.45048E+22,191,20,1602235455,109.40955,24.28446,18744612,31216,0,0
5.45048E+22,191,28,,109.40884,24.31967,18744612,31216,1,1
5.45048E+22,391,20,1602237042,109.40884,24.31967,18744702,31180,0,0
5.45048E+22,391,29,,109.39495,24.3621,18744702,31180,1,0
5.45048E+22,181,10,1602253642,109.39495,24.3621,18745939,28436,0,0
5.45048E+22,181,23,,109.40971,24.31828,18745939,28436,1,1
5.45048E+22,41,16,1602255347,109.40971,24.31828,18745878,26423,0,0
5.45048E+22,321,16,1602201138,109.38786,24.31281,18740867,26216,0,0
5.45048E+22,921,13,1602247141,109.40613,24.31888,18745676,29124,0,0
5.45048E+22,61,11,1602224254,109.41077,24.32831,18742548,11109,0,0
5.45048E+22,711,12,1602224853,109.36564,24.25992,18743531,28081,0,0
5.45048E+22,711,24,,109.398,24.30093,18743531,28081,1,1
5.45048E+22,581,13,1602227731,109.398,24.30093,18743922,31279,0,0
5.45048E+22,581,34,,109.40463,24.33551,18743922,31279,1,0
5.45048E+22,581,34,1602235945,109.40463,24.33551,18744569,31300,0,0
5.45048E+22,111,1,1602208159,109.35846,24.34238,18741841,28773,0,0
5.45048E+22,111,6,,109.37717,24.33861,18741841,28773,1,0
5.45048E+22,271,28,1602214553,109.37717,24.33861,18741992,24900,0,0
5.45048E+22,271,37,,109.36353,24.3283,18741992,24900,1,1
5.45048E+22,111,28,1602217346,109.36353,24.3283,18742361,28800,0,0
5.45048E+22,111,1,1602205457,109.35942,24.33889,18741384,28773,0,0
5.45048E+22,111,15,,109.40676,24.3191,18741384,28773,1,0
5.45048E+22,671,13,1602236057,109.40676,24.3191,18744368,31601,0,0
5.45048E+22,671,21,,109.36958,24.32845,18744368,31601,1,1
5.45048E+22,111,27,1602238216,109.36958,24.32845,18744626,28799,0,0
5.45048E+22,51,24,1602216740,109.40876,24.33437,18742242,31150,0,0
5.45048E+22,331,15,1602201664,109.3913,24.30819,18740872,29582,0,0
5.45048E+22,321,5,1602238731,109.39462,24.27348,18745279,26205,0,0
5.45048E+22,301,6,1602218070,109.43428,24.29369,18742792,25781,0,0
5.45048E+22,41,8,1602230464,109.42051,24.28685,18744344,26415,0,0
5.45048E+22,41,14,,109.40081,24.30658,18744344,26415,1,1
5.45048E+22,8090,27,1602235098,109.40081,24.30658,18744401,29865,0,0
5.45048E+22,8090,28,,109.4071,24.30506,18744401,29865,1,1
5.45048E+22,621,12,1602235378,109.4071,24.30506,18744789,25869,0,0
5.45048E+22,11,24,1602226065,109.40445,24.33027,18743383,31111,0,0
5.45048E+22,11,29,,109.4066,24.36132,18743383,31111,1,0
5.45048E+22,11,12,1602255609,109.4066,24.36132,18745901,31099,0,0
5.45048E+22,51,1,1602216610,109.39949,24.39115,18742757,31127,0,0
5.45048E+22,271,12,1602199275,109.37037,24.30922,18740190,24884,0,0
5.45048E+22,271,25,,109.39899,24.33813,18740190,24884,1,0
5.45048E+22,111,9,1602213489,109.39899,24.33813,18742262,28781,0,0
5.45048E+22,801,23,1602223415,109.40649,24.31902,18742825,29457,0,0
5.45048E+22,251,9,1602201094,109.39014,24.287,18740732,27443,0,0
5.45048E+22,251,19,,109.40642,24.31827,18740732,27443,1,0
5.45048E+22,251,19,1602237579,109.40642,24.31827,18744898,27453,0,0
5.45048E+22,41,8,1602198351,109.42062,24.28668,18740826,26415,0,0
5.45048E+22,41,15,,109.40679,24.31878,18740826,26415,1,0
5.45048E+22,41,15,1602254650,109.40679,24.31878,18745877,26422,0,0
5.45048E+22,8003,12,1602206467,109.44909,24.32209,18741404,19211,0,0
5.45048E+22,8001,30,1602197214,109.38912,24.30885,18739822,29737,0,0
5.45048E+22,8002,7,1602201153,109.42703,24.3439,18739840,17239,0,0
5.45048E+22,8002,19,,109.39076,24.30851,18739840,17239,1,0
5.45048E+22,8002,16,1602209910,109.39076,24.30851,18741620,17248,0,0
5.45048E+22,8002,17,,109.38563,24.30857,18741620,17248,1,1
5.45048E+22,8002,17,1602210093,109.38563,24.30857,18741620,17250,0,0
5.45048E+22,8002,21,,109.40468,24.30528,18741620,17250,1,0
