id,station_id,station_name,direction,beeline_dis,actual_dis,line_no,sort,lng,lat,create_time,update_time
140709,30858,水天一州,b'\x00',0,0,771,1,109.387806,24.355333,2020/12/12 3:00,2020/12/12 3:00
140710,30859,桂景湾,b'\x00',223,223,771,2,109.389167,24.35375,2020/12/12 3:00,2020/12/12 3:00
140711,30860,凤糖集团,b'\x00',657,657,771,3,109.395583,24.352917,2020/12/12 3:00,2020/12/12 3:00
140712,30861,北雀红碑路口,b'\x00',467,467,771,4,109.396333,24.357056,2020/12/12 3:00,2020/12/12 3:00
140713,30862,区三建,b'\x00',454,454,771,5,109.395056,24.360972,2020/12/12 3:00,2020/12/12 3:00
140714,30863,柳北文化商业广场,b'\x00',576,576,771,6,109.393972,24.366056,2020/12/12 3:00,2020/12/12 3:00
140715,30864,前锋路口,b'\x00',666,666,771,7,109.392639,24.371917,2020/12/12 3:00,2020/12/12 3:00
140716,30865,冶建公司,b'\x00',281,281,771,8,109.392611,24.374444,2020/12/12 3:00,2020/12/12 3:00
140717,30866,柳钢,b'\x00',455,455,771,9,109.394667,24.378083,2020/12/12 3:00,2020/12/12 3:00
140718,30867,柳北大市场,b'\x00',423,423,771,10,109.398056,24.380306,2020/12/12 3:00,2020/12/12 3:00
140719,30868,怡园新苑,b'\x00',468,468,771,11,109.402139,24.382278,2020/12/12 3:00,2020/12/12 3:00
140720,30869,鹧鸪江路口,b'\x00',443,443,771,12,109.405639,24.384667,2020/12/12 3:00,2020/12/12 3:00
140721,30870,香兰大道南,b'\x00',644,644,771,13,109.404472,24.390361,2020/12/12 3:00,2020/12/12 3:00
140722,30871,柳北区税务局,b'\x00',655,655,771,14,109.404361,24.39625,2020/12/12 3:00,2020/12/12 3:00
140723,30872,思源路口,b'\x00',593,593,771,15,109.410083,24.397361,2020/12/12 3:00,2020/12/12 3:00
140724,30873,富仕云商产业园,b'\x00',580,580,771,16,109.414889,24.400194,2020/12/12 3:00,2020/12/12 3:00
140725,30874,鹧鸪江大桥南,b'\x00',2312,2312,771,17,109.429861,24.384528,2020/12/12 3:00,2020/12/12 3:00
140726,30875,中医院东院南门,b'\x00',870,870,771,18,109.434583,24.378,2020/12/12 3:00,2020/12/12 3:00
140727,30876,中医院东院北门,b'\x01',219,219,771,1,109.435389,24.379833,2020/12/12 3:00,2020/12/12 3:00
140728,30877,鹧鸪江大桥南,b'\x01',557,557,771,2,109.430389,24.381917,2020/12/12 3:00,2020/12/12 3:00
140729,30878,富仕云商产业园,b'\x01',2278,2278,771,3,109.415889,24.397556,2020/12/12 3:00,2020/12/12 3:00
140730,30879,思源路口,b'\x01',560,560,771,4,109.410361,24.397611,2020/12/12 3:00,2020/12/12 3:00
140731,30880,柳北区税务局,b'\x01',715,715,771,5,109.403583,24.395806,2020/12/12 3:00,2020/12/12 3:00
140732,30881,香兰大道南,b'\x01',439,439,771,6,109.404083,24.391889,2020/12/12 3:00,2020/12/12 3:00
140733,30882,鹧鸪江路口,b'\x01',715,715,771,7,109.405111,24.385528,2020/12/12 3:00,2020/12/12 3:00
140734,30883,怡园新苑,b'\x01',331,331,771,8,109.403667,24.382861,2020/12/12 3:00,2020/12/12 3:00
